,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
9636,IVAng,P4,2419,0.4748848271575352,1.3924027624521198,0.4789685535613754,0.0350000000000001,-0.0035
9637,IVAng,P4,2419,0.3063433545799834,-0.0696011746961993,0.2956002992580404,0.4830000000000001,0.4910000000000001
9638,IVAng,P4,2419,0.4493346678067813,-0.6612182368018971,0.4541731337539538,0.0765,0.1020000000000002
9639,IVAng,P4,2419,0.297645018456401,1.0247799858764337,0.300704706322267,0.0475000000000001,-0.01
9640,IVAng,P4,2419,0.8056335932679024,11.119370279752824,0.6722061078348722,0.2509999999999999,0.031
9641,IVAng,P4,2419,0.3773266495862357,-1.3447815192687536,0.3771199824297693,0.1319999999999999,0.1455
9642,IVAng,P4,2419,0.5593281473118252,-0.8924724330228031,0.5589236264614703,0.241,0.0229999999999999
9643,IVAng,P4,2419,-0.3818649769093358,8.704985769957428,-0.4755845857043423,0.194,0.0214999999999999
9644,IVAng,P4,2419,1.034128418497455,11.285612083098698,0.8548632768776037,0.3179999999999998,0.0454999999999999
9645,IVAng,P4,2419,1.6600140224573627,7.277571853894763,1.6583283752120188,0.0509999999999999,0.1394999999999999
9646,IVAng,P4,2419,0.6337108543032732,-5.783927922446701,0.6348868737560123,0.1204999999999998,0.1130000000000001
9647,IVAng,P4,2419,0.2078793177093552,8.095388576558422,0.0150945467080285,0.326,0.3264999999999998
9696,fastIVA,P4,2419,-1.2449521287295875,4.630293615240709,-1.393285713495053,-0.0279999999999999,-0.168
9697,fastIVA,P4,2419,0.2319039878884858,-12.24795032325585,0.2448688961735836,0.0529999999999999,-0.0344999999999999
9698,fastIVA,P4,2419,-0.8637519195728363,-13.136979587784955,-0.8629417750436779,-0.1260000000000001,-0.1945
9699,fastIVA,P4,2419,-0.2097408890016012,7.646989697317577,-0.3949722864011227,0.1789999999999999,0.1975
9700,fastIVA,P4,2419,-0.7615871038200601,-9.648812732084483,-0.748419926124158,-0.018,0.3929999999999998
9701,fastIVA,P4,2419,0.3083093166265753,0.8232130173694472,0.2920304171429326,0.5035000000000001,0.5489999999999999
9702,fastIVA,P4,2419,0.4627684966744865,-1.2612616754945307,0.4674670913591707,0.1810000000000001,0.0054999999999999
9703,fastIVA,P4,2419,-0.1760032248087975,-1.5823107236956684,-0.1734089618759151,0.0275,-0.038
9704,fastIVA,P4,2419,0.2948347380528868,7.635509256117588,0.1713430448620951,0.2269999999999998,0.005
9705,fastIVA,P4,2419,-0.7598149868147652,-11.502510327220817,-0.7513834959778511,-0.0024999999999999,-0.001
9706,fastIVA,P4,2419,-0.3400866855974409,-1.6647613214749306,-0.340210674739386,0.1735000000000001,-0.0515000000000001
9707,fastIVA,P4,2419,-0.7338608034102991,7.02656662258827,-0.8168405127195282,0.194,0.0839999999999999
9708,fastIVA,P4,2419,0.6011761363340378,7.787118282019056,0.438689641023809,0.2899999999999998,0.0274999999999999
9709,fastIVA,P4,2419,1.1256271833744982,18.82196664237777,1.123525615396189,0.0270000000000001,0.1049999999999999
9710,fastIVA,P4,2419,-0.0394237211130814,-4.316695452080317,-0.038923483799786,0.0049999999999998,-0.0539999999999999
9711,fastIVA,P4,2419,0.0866188379655235,7.776813452639034,-0.101798977894846,0.3269999999999999,0.3219999999999999
9760,IVAaux,P4,2419,-0.8159961455205149,4.254846348873964,-0.9504822243117764,-0.144,-0.3744999999999999
9761,IVAaux,P4,2419,0.0822597763881496,-14.160187023516858,0.0938452397557183,0.0289999999999999,0.0
9762,IVAaux,P4,2419,0.4291063989094903,-11.970208279890642,0.430056829843449,0.1334999999999997,0.1104999999999999
9763,IVAaux,P4,2419,0.0760734963366749,9.85790152350155,-0.0858929793685037,0.1095,0.121
9764,IVAaux,P4,2419,-0.0018032022947367,13.601217947245434,0.0032438734280715,0.002,0.4910000000000001
9765,IVAaux,P4,2419,0.189785987145602,1.2709057247303193,0.1715383326537227,0.5015000000000003,0.544
9766,IVAaux,P4,2419,0.0410944423714378,2.5582305361021724,0.0465793035371111,0.0224999999999999,0.0184999999999998
9767,IVAaux,P4,2419,0.047219972552392,4.688631667523696,0.0488865552651409,0.0329999999999999,-0.026
9768,IVAaux,P4,2419,0.74270814681034,10.701521476486487,0.6109537362833852,0.2454999999999998,0.0234999999999999
