,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
29,30,fastIVA,longe90,cefala,0.326786318754524,4.939761197186108,0.3246090012225038,0.14565625,0.12184375000000006
30,31,fastIVA,longe90,cefala,0.27647562219244504,2.849630230592059,0.27446233326491304,0.14465625000000001,0.14931250000000007
31,32,fastIVA,longe90,cefala,0.016997896035026494,3.2617601169677695,0.015292347097440845,0.07584374999999999,0.06890625000000004
32,33,IVAaux,longe90,cefala,0.16987455957253275,2.8977551965642725,0.1691378499991878,0.06184375000000001,0.06612500000000002
33,34,IVAaux,longe90,cefala,0.3493684534115159,4.903415905003149,0.34783636249319183,0.15393750000000003,0.13496875000000003
34,35,IVAaux,longe90,cefala,0.1744702499676654,1.9523182033581818,0.17273400915465856,0.11206250000000001,0.09721874999999999
35,36,IVAaux,longe90,cefala,-0.024080671964311157,2.8998253213688665,-0.025618135533096026,0.030124999999999992,0.0018750000000000017
36,1,ICA_kurt,longe4,cefala,-1.4576861132260712,4.461832189661347,-1.4608746426018333,-0.087,-0.11528125000000002
37,2,ICA_negen,longe4,cefala,-1.4585650960725827,4.258860590615416,-1.4617478415215497,-0.09031249999999995,-0.1033125
38,3,ICA_ML,longe4,cefala,-1.4616253977335654,4.1331395538274025,-1.4648423414639464,-0.10268749999999999,-0.12478124999999997
39,4,FDICAnat,longe4,cefala,0.3261031120394689,3.6988654591981955,0.3219485821431337,-0.07459375000000003,-0.066375
40,5,FDICAnat,longe4,cefala,0.5797371958162401,7.784597280526694,0.5743891750374087,0.03465625,0.016999999999999994
41,6,FDICAnat,longe4,cefala,0.3208849023463399,7.290892651851157,0.3161857478126186,-0.04059375000000004,-0.049187500000000016
42,7,FDICAnat,longe4,cefala,0.1783365168544996,2.8812185975920963,0.17568196060916125,-0.05096875,-0.11365625
43,8,FDICAnat,longe4,cefala,0.258925491610263,6.34753775019327,0.2537830738815253,-0.059687500000000046,-0.042093750000000006
44,9,FDICAnat,longe4,cefala,-5.505186969401306,22.63370608030704,-5.512938801444925,-0.3829062499999999,-0.41521875
45,10,FDICAnat,longe4,cefala,0.38366000982670256,7.456759633239991,0.37871801372645175,-0.0445,-0.06462500000000002
46,11,fastFDICA,longe4,cefala,-0.1161993254717486,6.768225863957148,-0.12158345364913936,0.03271874999999996,0.018093749999999957
47,12,fastFDICA,longe4,cefala,-0.349668016954039,4.34067709599575,-0.3550312718833488,0.014187499999999999,0.016156249999999997
48,13,fastFDICA,longe4,cefala,-0.7596616191361567,6.949105325124418,-0.76600746502958,0.0006249999999999936,-0.03825000000000003
49,14,fastFDICA,longe4,cefala,-0.4698628562887848,4.917162550753181,-0.47572162025369985,-0.0017812499999999912,-0.026531250000000013
50,15,fastFDICA,longe4,cefala,-0.2920937555635032,4.136676822660355,-0.29631047373355435,0.014062499999999964,0.02234374999999999
51,16,fastFDICA,longe4,cefala,-6.059741743729686,18.131568294314608,-6.067478953728636,-0.46025000000000016,-0.4459687500000001
52,17,fastFDICA,longe4,cefala,-0.517223010147235,4.795869137720982,-0.5220982210582328,-0.039093750000000024,0.049406249999999964
53,18,FDICAaux,longe4,cefala,0.3379139186959325,5.010875210841381,0.33328737565632693,-0.07465625000000002,-0.047156250000000004
