,metodo,ensaio,ambiente,sdr,sir
214,IVAaux,media57,estudio,1.2017311683399536,6.319494956025021
219,FDICAnat,perto90,estudio,0.0750889904196475,4.100843925062573
226,fastFDICA,perto90,estudio,-0.4971708683961764,8.516779590820946
233,FDICAaux,perto90,estudio,-0.3141906294895766,3.876134380059124
242,IVAng,perto90,estudio,0.7768599684361792,5.788872956585753
246,fastIVA,perto90,estudio,1.137465553733989,5.765026619222495
250,IVAaux,perto90,estudio,0.8104694500753779,6.160649892081862
255,FDICAnat,perto4,estudio,1.6336156139243911,18.27703097722162
262,fastFDICA,perto4,estudio,0.1002230922586779,11.35082549872185
269,FDICAaux,perto4,estudio,1.638781441021007,19.59836481331969
278,IVAng,perto4,estudio,1.450859662011742,14.79283559802214
282,fastIVA,perto4,estudio,1.2345614013132422,11.586645265214823
286,IVAaux,perto4,estudio,1.1802570651586977,11.809846481492835
291,FDICAnat,perto57,estudio,-0.1634764649209359,11.115100689939997
298,fastFDICA,perto57,estudio,-2.020024789113628,2.909001306706751
305,FDICAaux,perto57,estudio,-0.116237898946907,10.283481237300077
314,IVAng,perto57,estudio,0.7276516003909618,13.889139915982708
318,fastIVA,perto57,estudio,0.621107144435009,12.125787743117332
322,IVAaux,perto57,estudio,0.7114016611979165,13.8611383747931
327,FDICAnat,longe90,cefala,-0.1026362858020941,-0.2425512141971593
334,fastFDICA,longe90,cefala,-0.7043134354864198,-0.516779032685428
341,FDICAaux,longe90,cefala,-0.2058853847752977,0.0790194836937154
350,IVAng,longe90,cefala,0.596879984751066,4.6603818921077576
354,fastIVA,longe90,cefala,0.276475622192445,2.849630230592059
358,IVAaux,longe90,cefala,0.1744702499676654,1.9523182033581816
363,FDICAnat,longe4,cefala,0.3261031120394689,3.698865459198196
370,fastFDICA,longe4,cefala,-0.1161993254717486,6.768225863957148
377,FDICAaux,longe4,cefala,0.3379139186959325,5.010875210841381
386,IVAng,longe4,cefala,0.9741813907567524,7.248631477952911
390,fastIVA,longe4,cefala,0.7099457399395681,7.639888394681229
394,IVAaux,longe4,cefala,0.6819196148170408,6.544889818024136
399,FDICAnat,longe57,cefala,0.4902212550229506,4.720677934433464
406,fastFDICA,longe57,cefala,-0.5276939529522742,3.0199236186873613
413,FDICAaux,longe57,cefala,-0.0478134234083679,3.499986536925507
422,IVAng,longe57,cefala,0.7681348054305503,7.470139561755817
426,fastIVA,longe57,cefala,0.6850897499368266,5.392745658563598
430,IVAaux,longe57,cefala,0.6448174798190494,4.931182868107491
435,FDICAnat,media90,cefala,-0.2475206597138722,4.928586689385819
442,fastFDICA,media90,cefala,-0.4662264016342698,8.261656120138568
449,FDICAaux,media90,cefala,-0.1956514586698265,4.194352209158094
458,IVAng,media90,cefala,0.8538326153176534,6.922617705945892
462,fastIVA,media90,cefala,0.7869180565458465,3.743398716228257
466,IVAaux,media90,cefala,0.79658372660864,9.331164705034608
471,FDICAnat,media4,cefala,0.1813723984773988,8.896687092009913
478,fastFDICA,media4,cefala,-1.039294538752561,11.25770094235766
485,FDICAaux,media4,cefala,0.3111692440453387,7.642085839439848
494,IVAng,media4,cefala,1.2447900809379666,12.132643488824826
498,fastIVA,media4,cefala,0.684821484826817,6.8661172935627
502,IVAaux,media4,cefala,0.9039262034072044,11.447747837152896
507,FDICAnat,media57,cefala,0.4476630280459317,5.611946178203927
514,fastFDICA,media57,cefala,-2.078394393224284,5.586399757293152
521,FDICAaux,media57,cefala,0.2883275873709695,7.206764629299318
530,IVAng,media57,cefala,1.1049062321173864,9.912503606659952
534,fastIVA,media57,cefala,1.029295678498955,7.471904833357195
538,IVAaux,media57,cefala,1.044753338406563,8.462201495639665
543,FDICAnat,perto90,cefala,-0.4126978399098723,3.692628935826532
550,fastFDICA,perto90,cefala,-2.872529189574365,9.718503169362815
557,FDICAaux,perto90,cefala,-0.2532578041141204,2.886290797164339
566,IVAng,perto90,cefala,0.9063064538059142,6.127276892598637
570,fastIVA,perto90,cefala,0.9105238208376718,4.795647562010404
574,IVAaux,perto90,cefala,0.7340302101066691,4.788599380719639
579,FDICAnat,perto4,cefala,1.3347495430594671,15.222710341766042
586,fastFDICA,perto4,cefala,-2.9080693811495517,6.463594620741481
593,FDICAaux,perto4,cefala,1.3694692994572994,16.397489233065325
602,IVAng,perto4,cefala,1.4976661357175376,12.506571192233972
606,fastIVA,perto4,cefala,1.3874186816487275,12.348151736545166
610,IVAaux,perto4,cefala,1.453743601178306,11.848076991700148
